first_covid_case,phase1before,phase1after,phase2after
3/13/2020,132900.18466666667,482381.088,355086.0786666667
3/12/2020,39533.59533333333,84719.009,61525.043999999994
1/26/2020,341268.969,849395.0099999999,581416.866
3/11/2020,110513.51333333332,264072.3386666667,195795.08
1/26/2020,1632818.1423333334,6017126.755333333,4753135.139333334
3/6/2020,154035.1133333333,674835.9333333332,414542.0733333333
3/9/2020,133966.71533333333,376827.2133333334,336024.26666666666
3/12/2020,42078.842666666664,130928.952,78689.62266666668
3/2/2020,682156.6283333334,2861610.978666667,1912533.9706666667
3/3/2020,352831.5043333334,1083305.8,754381.2666666666
3/7/2020,32585.631666666668,280218.82300000003,208107.24333333332
3/14/2020,49303.00966666667,165683.556,103475.232
1/24/2020,458869.92399999994,1964665.9816666667,1427685.6916666664
3/6/2020,216570.74133333334,882133.7200000001,502137.65599999996
3/9/2020,90032.031,281665.76166666666,171125.23633333333
3/8/2020,91757.72466666666,279887.2266666667,184960.44000000003
3/9/2020,188646.15099999998,502941.9766666666,249219.00933333332
3/9/2020,240270.39899999998,551942.7559999999,392251.453
3/12/2020,41141.81333333333,103079.18666666666,85823.64
3/6/2020,210489.32366666666,547310.8713333333,499986.999
2/1/2020,195411.468,1088444.1,655407.2000000001
3/10/2020,378164.85299999994,1963194.4799999997,862463.216
3/6/2020,185691.19366666666,555497.3933333334,380477.6666666667
3/12/2020,167915.84133333337,357781.27,231621.4833333333
3/8/2020,217265.06133333335,619551.0873333333,373371.8473333333
3/13/2020,39261.83733333333,103550.39933333332,63723.32266666667
3/6/2020,57919.361666666664,126840.75666666667,79765.83666666666
3/5/2020,114802.34199999999,720388.4246666665,457768.437
3/2/2020,35666.86066666667,182335.21866666665,92775.09866666667
3/5/2020,338447.3373333333,1528064.3473333335,986746.0056666667
3/11/2020,106958.21866666667,210344.88933333335,214580.02133333334
3/2/2020,770206.2399999999,3150887.8589999997,2445465.204
3/3/2020,373343.53033333336,1247889.7886666667,798231.1776666668
3/12/2020,17780.926000000003,61278.34399999999,44141.18
3/9/2020,521329.03466666676,1634961.3973333333,1010060.2863333334
3/7/2020,126727.64533333333,405447.839,253569.98399999997
2/29/2020,145356.53133333335,497674.49600000004,360531.24
3/6/2020,620624.9146666666,1861846.25,1311952.125
3/1/2020,40861.16566666667,150548.78266666667,137028.625
3/6/2020,133542.834,525044.601,314684.712
3/9/2020,27176.716000000004,65941.02566666667,41693.653
3/5/2020,250430.59533333333,800427.0976666665,574369.877
3/5/2020,1049248.1679999998,3379508.530333333,2347151.4576666667
3/7/2020,79248.50266666667,262534.72,157520.832
3/8/2020,15700.162000000002,68104.46999999999,35123.060000000005
3/8/2020,220687.071,822921.528,618629.82
1/22/2020,309939.1016666666,1018879.6200000001,717847.0049999999
3/17/2020,90723.03166666666,226707.74666666667,153922.628
3/9/2020,197559.50266666667,663868.3913333333,363359.9183333333
3/12/2020,24840.88233333333,41178.37933333334,35982.97633333333
